Invoice ID,Customer type,Date,Time,Branch,City,Payment,Gender,Product line,cogs,gross income,Quantity,Rating,Tax 5%,Total,Unit price
135-84-8019,Normal,27/02/2019 00:00,1899-12-30 16:10:00,A,Yangon,Ewallet,Female,Fashion accessories,701.37,35.0685,9,7.6,35.0685,736.4385,77.93
136-08-6195,Normal,15/02/2019 00:00,1899-12-30 17:01:00,A,Yangon,Credit card,Female,Home and lifestyle,559.68,27.984,8,6.4,27.984,587.664,69.96
137-63-5492,Normal,29/01/2019 00:00,1899-12-30 14:26:00,C,Naypyitaw,Ewallet,Male,Electronic accessories,587.6,29.38,10,9,29.38,616.98,58.76
137-74-8729,Normal,13/03/2019 00:00,1899-12-30 12:47:00,C,Naypyitaw,Ewallet,Female,Fashion accessories,97.52,4.876,8,6.8,4.876,102.396,12.19
138-17-5109,Member,15/01/2019 00:00,1899-12-30 15:42:00,A,Yangon,Credit card,Female,Home and lifestyle,802.89,40.1445,9,6.5,40.1445,843.0345,89.21
139-20-0155,Member,24/01/2019 00:00,1899-12-30 17:37:00,B,Mandalay,Credit card,Male,Electronic accessories,403,20.15,10,7,20.15,423.15,40.3
139-32-4183,Member,14/03/2019 00:00,1899-12-30 14:19:00,A,Yangon,Ewallet,Female,Sports and travel,877.32,43.866,9,7.4,43.866,921.186,97.48
139-52-2867,Normal,13/02/2019 00:00,1899-12-30 10:50:00,C,Naypyitaw,Credit card,Female,Fashion accessories,157.57,7.8785,7,4.8,7.8785,165.4485,22.51
142-63-6033,Normal,20/03/2019 00:00,1899-12-30 19:17:00,B,Mandalay,Ewallet,Male,Home and lifestyle,461.8,23.09,5,4.9,23.09,484.89,92.36
142-72-4741,Member,28/02/2019 00:00,1899-12-30 18:37:00,C,Naypyitaw,Credit card,Male,Fashion accessories,186.4,9.32,2,6,9.32,195.72,93.2
144-51-6085,Member,05/01/2019 00:00,1899-12-30 16:05:00,A,Yangon,Credit card,Male,Home and lifestyle,282.96,14.148,4,4.4,14.148,297.108,70.74
145-94-9061,Normal,25/01/2019 00:00,1899-12-30 19:48:00,B,Mandalay,Cash,Female,Food and beverages,441.8,22.09,5,9.6,22.09,463.89,88.36
146-09-5432,Member,09/02/2019 00:00,1899-12-30 19:17:00,A,Yangon,Ewallet,Male,Food and beverages,315.36,15.768,9,4.6,15.768,331.128,35.04
148-41-7930,Normal,23/01/2019 00:00,1899-12-30 10:33:00,C,Naypyitaw,Cash,Male,Health and beauty,699.72,34.986,7,6.1,34.986,734.706,99.96
148-82-2527,Member,05/03/2019 00:00,1899-12-30 13:44:00,C,Naypyitaw,Credit card,Female,Home and lifestyle,121.2,6.06,10,8.4,6.06,127.26,12.12
149-14-0304,Member,06/02/2019 00:00,1899-12-30 14:24:00,C,Naypyitaw,Cash,Female,Health and beauty,228,11.4,8,6.6,11.4,239.4,28.5
149-15-7606,Member,06/03/2019 00:00,1899-12-30 15:31:00,B,Mandalay,Ewallet,Male,Sports and travel,335.88,16.794,9,5.1,16.794,352.674,37.32
149-61-1929,Normal,19/01/2019 00:00,1899-12-30 14:08:00,A,Yangon,Credit card,Male,Sports and travel,641.9,32.095,10,6.7,32.095,673.995,64.19
149-71-6266,Member,28/01/2019 00:00,1899-12-30 12:43:00,B,Mandalay,Cash,Male,Sports and travel,702.63,35.1315,9,4.5,35.1315,737.7615,78.07
150-89-8043,Normal,14/02/2019 00:00,1899-12-30 15:04:00,A,Yangon,Cash,Male,Sports and travel,133.95,6.6975,3,6.2,6.6975,140.6475,44.65
151-16-1484,Member,13/02/2019 00:00,1899-12-30 12:38:00,A,Yangon,Ewallet,Male,Electronic accessories,129,6.45,4,6.5,6.45,135.45,32.25
151-27-8496,Normal,19/01/2019 00:00,1899-12-30 11:43:00,C,Naypyitaw,Ewallet,Female,Electronic accessories,224.52,11.226,4,8.6,11.226,235.746,56.13
151-33-7434,Normal,04/02/2019 00:00,1899-12-30 20:43:00,B,Mandalay,Credit card,Female,Food and beverages,67.77,3.3885,1,6.5,3.3885,71.1585,67.77
152-03-4217,Normal,17/03/2019 00:00,1899-12-30 11:55:00,B,Mandalay,Credit card,Female,Home and lifestyle,101.52,5.076,9,4.3,5.076,106.596,11.28
152-08-9985,Member,12/03/2019 00:00,1899-12-30 12:09:00,B,Mandalay,Credit card,Male,Health and beauty,579.24,28.962,9,8.6,28.962,608.202,64.36
152-68-2907,Normal,15/02/2019 00:00,1899-12-30 13:30:00,A,Yangon,Credit card,Male,Food and beverages,156.6,7.83,3,9.5,7.83,164.43,52.2
153-58-4872,Member,01/03/2019 00:00,1899-12-30 15:32:00,C,Naypyitaw,Ewallet,Female,Food and beverages,299.56,14.978,4,4.2,14.978,314.538,74.89
154-74-7179,Normal,26/02/2019 00:00,1899-12-30 19:24:00,B,Mandalay,Ewallet,Male,Sports and travel,54.45,2.7225,1,7.9,2.7225,57.1725,54.45
154-87-7367,Normal,15/03/2019 00:00,1899-12-30 14:04:00,C,Naypyitaw,Ewallet,Male,Home and lifestyle,522.08,26.104,8,6.3,26.104,548.184,65.26
155-45-3814,Member,19/03/2019 00:00,1899-12-30 15:29:00,C,Naypyitaw,Ewallet,Female,Electronic accessories,708.4,35.42,8,4.7,35.42,743.82,88.55
156-20-0370,Normal,10/03/2019 00:00,1899-12-30 18:10:00,B,Mandalay,Credit card,Female,Electronic accessories,25.45,1.2725,1,5.1,1.2725,26.7225,25.45
156-95-3964,Normal,25/03/2019 00:00,1899-12-30 15:19:00,A,Yangon,Ewallet,Female,Food and beverages,221.56,11.078,4,8,11.078,232.638,55.39
157-13-5295,Member,09/03/2019 00:00,1899-12-30 18:24:00,A,Yangon,Ewallet,Male,Health and beauty,519.4,25.97,10,6.5,25.97,545.37,51.94
160-22-2687,Member,23/01/2019 00:00,1899-12-30 14:21:00,A,Yangon,Ewallet,Female,Health and beauty,479.75,23.9875,5,8.8,23.9875,503.7375,95.95
162-48-8011,Member,10/02/2019 00:00,1899-12-30 15:10:00,A,Yangon,Cash,Female,Food and beverages,222.95,11.1475,5,8.5,11.1475,234.0975,44.59
162-65-8559,Member,21/01/2019 00:00,1899-12-30 20:13:00,C,Naypyitaw,Cash,Male,Food and beverages,68.98,3.449,1,4.8,3.449,72.429,68.98
163-56-7055,Member,26/03/2019 00:00,1899-12-30 19:20:00,C,Naypyitaw,Cash,Male,Fashion accessories,48.71,2.4355,1,4.1,2.4355,51.1455,48.71
166-19-2553,Member,18/01/2019 00:00,1899-12-30 17:26:00,A,Yangon,Cash,Male,Sports and travel,534.36,26.718,6,9.9,26.718,561.078,89.06
169-52-4504,Normal,14/03/2019 00:00,1899-12-30 14:13:00,A,Yangon,Credit card,Female,Electronic accessories,47.07,2.3535,3,5.8,2.3535,49.4235,15.69
172-42-8274,Normal,02/03/2019 00:00,1899-12-30 18:18:00,B,Mandalay,Credit card,Female,Electronic accessories,76.54,3.827,2,5.8,3.827,80.367,38.27
173-50-1108,Member,13/02/2019 00:00,1899-12-30 12:14:00,B,Mandalay,Credit card,Female,Sports and travel,80.72,4.036,4,5,4.036,84.756,20.18
173-57-2300,Member,13/03/2019 00:00,1899-12-30 12:51:00,C,Naypyitaw,Cash,Male,Sports and travel,145.76,7.288,2,6.1,7.288,153.048,72.88
173-82-9529,Normal,26/01/2019 00:00,1899-12-30 14:51:00,B,Mandalay,Cash,Female,Fashion accessories,379.5,18.975,10,9.7,18.975,398.475,37.95
174-36-3675,Member,14/02/2019 00:00,1899-12-30 17:29:00,C,Naypyitaw,Cash,Male,Food and beverages,198.74,9.937,2,5.2,9.937,208.677,99.37
174-64-0215,Normal,05/03/2019 00:00,1899-12-30 17:49:00,B,Mandalay,Credit card,Male,Sports and travel,697.4,34.87,10,8.9,34.87,732.27,69.74
174-75-0888,Normal,14/03/2019 00:00,1899-12-30 12:32:00,B,Mandalay,Cash,Male,Electronic accessories,194.22,9.711,9,7.3,9.711,203.931,21.58
175-54-2529,Member,03/03/2019 00:00,1899-12-30 17:01:00,A,Yangon,Credit card,Male,Food and beverages,177.36,8.868,8,9.6,8.868,186.228,22.17
176-64-7711,Normal,27/03/2019 00:00,1899-12-30 19:11:00,B,Mandalay,Credit card,Male,Food and beverages,96.96,4.848,3,4.3,4.848,101.808,32.32
176-78-1170,Member,26/01/2019 00:00,1899-12-30 15:11:00,C,Naypyitaw,Ewallet,Male,Health and beauty,101.43,5.0715,3,7.3,5.0715,106.5015,33.81
181-82-6255,Normal,08/02/2019 00:00,1899-12-30 10:58:00,B,Mandalay,Cash,Female,Home and lifestyle,98.22,4.911,6,7,4.911,103.131,16.37
181-94-6432,Member,05/02/2019 00:00,1899-12-30 19:05:00,C,Naypyitaw,Ewallet,Male,Fashion accessories,138.66,6.933,2,9.7,6.933,145.593,69.33
182-52-7000,Member,01/01/2019 00:00,1899-12-30 20:26:00,A,Yangon,Ewallet,Female,Sports and travel,108.16,5.408,4,6.9,5.408,113.568,27.04
182-69-8360,Normal,30/01/2019 00:00,1899-12-30 13:32:00,B,Mandalay,Credit card,Female,Electronic accessories,94.6,4.73,4,4,4.73,99.33,23.65
182-88-2763,Member,20/03/2019 00:00,1899-12-30 19:28:00,B,Mandalay,Credit card,Male,Food and beverages,239.73,11.9865,3,5,11.9865,251.7165,79.91
183-21-3799,Normal,19/02/2019 00:00,1899-12-30 15:14:00,C,Naypyitaw,Ewallet,Female,Electronic accessories,698.67,34.9335,9,7.2,34.9335,733.6035,77.63
183-56-6882,Member,06/02/2019 00:00,1899-12-30 10:42:00,C,Naypyitaw,Ewallet,Female,Food and beverages,397.68,19.884,4,7.5,19.884,417.564,99.42
186-09-3669,Member,22/01/2019 00:00,1899-12-30 10:57:00,C,Naypyitaw,Ewallet,Female,Health and beauty,81.51,4.0755,1,9.2,4.0755,85.5855,81.51
186-43-8965,Member,24/02/2019 00:00,1899-12-30 10:10:00,A,Yangon,Credit card,Female,Home and lifestyle,95.36,4.768,2,4.1,4.768,100.128,47.68
186-71-5196,Member,27/03/2019 00:00,1899-12-30 16:30:00,A,Yangon,Ewallet,Female,Food and beverages,159.08,7.954,2,6.2,7.954,167.034,79.54
186-79-9562,Normal,29/03/2019 00:00,1899-12-30 14:06:00,B,Mandalay,Cash,Male,Health and beauty,502.39,25.1195,7,8.9,25.1195,527.5095,71.77
187-83-5490,Member,31/01/2019 00:00,1899-12-30 13:47:00,A,Yangon,Cash,Male,Electronic accessories,83.08,4.154,4,4.7,4.154,87.234,20.77
188-55-0967,Member,15/01/2019 00:00,1899-12-30 15:01:00,B,Mandalay,Credit card,Male,Health and beauty,664.7,33.235,10,5,33.235,697.935,66.47
189-08-9157,Normal,08/01/2019 00:00,1899-12-30 16:17:00,C,Naypyitaw,Credit card,Female,Fashion accessories,285.57,14.2785,9,5.9,14.2785,299.8485,31.73
189-17-4241,Normal,10/03/2019 00:00,1899-12-30 12:17:00,A,Yangon,Credit card,Female,Fashion accessories,175.34,8.767,2,7.7,8.767,184.107,87.67
189-40-5216,Normal,09/01/2019 00:00,1899-12-30 11:40:00,C,Naypyitaw,Cash,Male,Electronic accessories,674.59,33.7295,7,6,33.7295,708.3195,96.37
189-52-0236,Normal,14/03/2019 00:00,1899-12-30 12:07:00,A,Yangon,Cash,Male,Electronic accessories,696.85,34.8425,7,7.6,34.8425,731.6925,99.55
189-55-2313,Normal,31/01/2019 00:00,1899-12-30 10:33:00,C,Naypyitaw,Ewallet,Female,Fashion accessories,621.8,31.09,10,6,31.09,652.89,62.18
189-98-2939,Normal,01/03/2019 00:00,1899-12-30 13:22:00,C,Naypyitaw,Cash,Male,Fashion accessories,706.95,35.3475,9,7.2,35.3475,742.2975,78.55
190-14-3147,Normal,23/02/2019 00:00,1899-12-30 20:43:00,B,Mandalay,Ewallet,Female,Health and beauty,71.88,3.594,4,6.4,3.594,75.474,17.97
190-59-3964,Member,03/02/2019 00:00,1899-12-30 14:35:00,B,Mandalay,Credit card,Male,Food and beverages,235.8,11.79,5,6,11.79,247.59,47.16
191-10-6171,Normal,25/01/2019 00:00,1899-12-30 13:18:00,B,Mandalay,Cash,Female,Fashion accessories,277.34,13.867,7,7.5,13.867,291.207,39.62
191-29-0321,Member,27/02/2019 00:00,1899-12-30 18:57:00,B,Mandalay,Credit card,Female,Fashion accessories,197.7,9.885,10,5,9.885,207.585,19.77
192-98-7397,Normal,08/01/2019 00:00,1899-12-30 14:11:00,C,Naypyitaw,Ewallet,Male,Fashion accessories,12.78,0.639,1,9.5,0.639,13.419,12.78
195-06-0432,Member,13/01/2019 00:00,1899-12-30 12:55:00,A,Yangon,Credit card,Male,Home and lifestyle,243.03,12.1515,3,9.3,12.1515,255.1815,81.01
196-01-2849,Member,10/02/2019 00:00,1899-12-30 13:56:00,C,Naypyitaw,Cash,Female,Fashion accessories,513.66,25.683,7,9.5,25.683,539.343,73.38
197-77-7132,Member,12/01/2019 00:00,1899-12-30 18:22:00,B,Mandalay,Ewallet,Male,Electronic accessories,732.48,36.624,8,6,36.624,769.104,91.56
198-66-9832,Member,04/02/2019 00:00,1899-12-30 19:38:00,B,Mandalay,Cash,Female,Fashion accessories,144.08,7.204,2,9.5,7.204,151.284,72.04
198-84-7132,Member,02/01/2019 00:00,1899-12-30 13:40:00,B,Mandalay,Cash,Male,Fashion accessories,365.49,18.2745,9,7,18.2745,383.7645,40.61
199-75-8169,Member,06/03/2019 00:00,1899-12-30 12:27:00,A,Yangon,Credit card,Male,Sports and travel,158.1,7.905,10,8.6,7.905,166.005,15.81
200-16-5952,Member,17/01/2019 00:00,1899-12-30 16:46:00,C,Naypyitaw,Cash,Male,Food and beverages,131.3,6.565,2,6,6.565,137.865,65.65
200-40-6154,Member,09/02/2019 00:00,1899-12-30 11:45:00,B,Mandalay,Cash,Male,Home and lifestyle,395.46,19.773,6,5.7,19.773,415.233,65.91
201-63-8275,Member,17/02/2019 00:00,1899-12-30 16:50:00,C,Naypyitaw,Ewallet,Female,Sports and travel,475.93,23.7965,7,5.7,23.7965,499.7265,67.99
201-86-2184,Member,02/02/2019 00:00,1899-12-30 19:40:00,B,Mandalay,Cash,Female,Electronic accessories,183.82,9.191,7,9.9,9.191,193.011,26.26
207-73-1363,Normal,01/03/2019 00:00,1899-12-30 12:15:00,B,Mandalay,Ewallet,Male,Health and beauty,139.02,6.951,2,8.1,6.951,145.971,69.51
209-61-0206,Normal,05/01/2019 00:00,1899-12-30 17:29:00,A,Yangon,Ewallet,Female,Home and lifestyle,214.55,10.7275,5,6.1,10.7275,225.2775,42.91
210-30-7976,Member,14/03/2019 00:00,1899-12-30 11:16:00,B,Mandalay,Ewallet,Female,Fashion accessories,89.28,4.464,4,4.1,4.464,93.744,22.32
210-57-1719,Normal,05/02/2019 00:00,1899-12-30 12:34:00,B,Mandalay,Cash,Female,Health and beauty,524.16,26.208,9,9.7,26.208,550.368,58.24
210-67-5886,Member,05/02/2019 00:00,1899-12-30 10:41:00,C,Naypyitaw,Credit card,Female,Health and beauty,294.63,14.7315,3,7.8,14.7315,309.3615,98.21
210-74-9613,Normal,16/03/2019 00:00,1899-12-30 15:33:00,C,Naypyitaw,Ewallet,Male,Fashion accessories,389.04,19.452,4,6.8,19.452,408.492,97.26
211-05-0490,Member,03/03/2019 00:00,1899-12-30 13:42:00,C,Naypyitaw,Cash,Female,Electronic accessories,259.6,12.98,5,7.5,12.98,272.58,51.92
211-30-9270,Normal,28/01/2019 00:00,1899-12-30 15:16:00,C,Naypyitaw,Credit card,Male,Health and beauty,87.05,4.3525,5,4.9,4.3525,91.4025,17.41
212-62-1842,Normal,28/03/2019 00:00,1899-12-30 16:44:00,A,Yangon,Cash,Male,Food and beverages,349.56,17.478,6,9.9,17.478,367.038,58.26
213-32-1216,Normal,23/01/2019 00:00,1899-12-30 10:28:00,A,Yangon,Cash,Female,Electronic accessories,396.36,19.818,6,7.3,19.818,416.178,66.06
213-72-6612,Normal,20/03/2019 00:00,1899-12-30 15:56:00,A,Yangon,Cash,Male,Food and beverages,86.5,4.325,2,6.2,4.325,90.825,43.25
214-17-6927,Normal,07/02/2019 00:00,1899-12-30 18:23:00,C,Naypyitaw,Ewallet,Female,Food and beverages,98.88,4.944,6,9.9,4.944,103.824,16.48
214-30-2776,Member,11/03/2019 00:00,1899-12-30 19:44:00,B,Mandalay,Credit card,Female,Electronic accessories,172.45,8.6225,5,9,8.6225,181.0725,34.49
217-58-1179,Member,05/01/2019 00:00,1899-12-30 11:25:00,A,Yangon,Cash,Male,Home and lifestyle,250.6,12.53,4,4.2,12.53,263.13,62.65
218-59-9410,Member,29/03/2019 00:00,1899-12-30 16:54:00,A,Yangon,Ewallet,Female,Home and lifestyle,217.26,10.863,3,8.2,10.863,228.123,72.42
219-22-9386,Member,09/03/2019 00:00,1899-12-30 17:26:00,B,Mandalay,Credit card,Male,Sports and travel,899.64,44.982,9,4.2,44.982,944.622,99.96
219-61-4139,Normal,23/01/2019 00:00,1899-12-30 17:16:00,C,Naypyitaw,Ewallet,Male,Electronic accessories,83.08,4.154,1,6.4,4.154,87.234,83.08
220-28-1851,Normal,01/03/2019 00:00,1899-12-30 18:14:00,A,Yangon,Ewallet,Male,Home and lifestyle,69.46,3.473,2,9.7,3.473,72.933,34.73
220-68-6701,Normal,17/03/2019 00:00,1899-12-30 16:36:00,A,Yangon,Cash,Female,Home and lifestyle,309.88,15.494,4,4.2,15.494,325.374,77.47
221-25-5073,Normal,04/03/2019 00:00,1899-12-30 10:39:00,A,Yangon,Cash,Female,Food and beverages,298.64,14.932,4,8.5,14.932,313.572,74.66
222-42-0244,Member,28/01/2019 00:00,1899-12-30 13:53:00,B,Mandalay,Credit card,Female,Health and beauty,648.99,32.4495,9,7.7,32.4495,681.4395,72.11
225-32-0908,Normal,26/01/2019 00:00,1899-12-30 19:54:00,C,Naypyitaw,Ewallet,Female,Sports and travel,448.6,22.43,10,8.2,22.43,471.03,44.86
225-98-1496,Normal,02/03/2019 00:00,1899-12-30 13:01:00,C,Naypyitaw,Credit card,Female,Fashion accessories,81.06,4.053,3,7.1,4.053,85.113,27.02
226-31-3081,Normal,08/03/2019 00:00,1899-12-30 10:29:00,C,Naypyitaw,Cash,Female,Electronic accessories,76.4,3.82,5,9.6,3.82,80.22,15.28
226-34-0034,Normal,10/01/2019 00:00,1899-12-30 11:10:00,B,Mandalay,Ewallet,Female,Electronic accessories,55.12,2.756,4,9,2.756,57.876,13.78
226-71-3580,Normal,31/01/2019 00:00,1899-12-30 12:02:00,C,Naypyitaw,Cash,Female,Sports and travel,213.75,10.6875,9,9.5,10.6875,224.4375,23.75
227-03-5010,Member,22/03/2019 00:00,1899-12-30 19:20:00,A,Yangon,Credit card,Female,Home and lifestyle,420.72,21.036,8,8.5,21.036,441.756,52.59
227-07-4446,Member,10/02/2019 00:00,1899-12-30 20:51:00,C,Naypyitaw,Cash,Female,Electronic accessories,781.3,39.065,10,4.4,39.065,820.365,78.13
227-50-3718,Normal,04/03/2019 00:00,1899-12-30 12:23:00,A,Yangon,Cash,Male,Health and beauty,73.1,3.655,5,4.4,3.655,76.755,14.62
227-78-1148,Normal,15/02/2019 00:00,1899-12-30 12:44:00,B,Mandalay,Cash,Female,Fashion accessories,509.88,25.494,7,8.4,25.494,535.374,72.84
228-96-1411,Member,04/03/2019 00:00,1899-12-30 20:39:00,C,Naypyitaw,Cash,Female,Food and beverages,789.6,39.48,8,7.6,39.48,829.08,98.7
232-11-3025,Normal,24/01/2019 00:00,1899-12-30 10:04:00,A,Yangon,Cash,Male,Sports and travel,787.7,39.385,10,6.4,39.385,827.085,78.77
232-16-2483,Member,07/01/2019 00:00,1899-12-30 12:28:00,C,Naypyitaw,Ewallet,Female,Sports and travel,68.12,3.406,1,6.8,3.406,71.526,68.12
233-34-0817,Member,15/02/2019 00:00,1899-12-30 11:21:00,C,Naypyitaw,Cash,Female,Electronic accessories,98.84,4.942,1,8.4,4.942,103.782,98.84
233-67-5758,Normal,29/01/2019 00:00,1899-12-30 13:46:00,C,Naypyitaw,Ewallet,Male,Health and beauty,40.35,2.0175,1,6.2,2.0175,42.3675,40.35
234-03-4040,Member,03/03/2019 00:00,1899-12-30 12:25:00,B,Mandalay,Credit card,Female,Food and beverages,730.5,36.525,10,8.7,36.525,767.025,73.05
234-36-2483,Normal,15/02/2019 00:00,1899-12-30 13:51:00,B,Mandalay,Cash,Male,Health and beauty,345.54,17.277,6,5.1,17.277,362.817,57.59
234-65-2137,Normal,16/01/2019 00:00,1899-12-30 13:32:00,C,Naypyitaw,Cash,Male,Home and lifestyle,955.8,47.79,10,4.8,47.79,1003.59,95.58
235-06-8510,Member,24/01/2019 00:00,1899-12-30 20:59:00,C,Naypyitaw,Ewallet,Male,Home and lifestyle,257.16,12.858,3,5.1,12.858,270.018,85.72
235-46-8343,Member,14/02/2019 00:00,1899-12-30 11:26:00,C,Naypyitaw,Credit card,Male,Food and beverages,276.6,13.83,10,8.9,13.83,290.43,27.66
236-27-1144,Normal,26/03/2019 00:00,1899-12-30 10:31:00,C,Naypyitaw,Ewallet,Female,Food and beverages,146.79,7.3395,9,8.4,7.3395,154.1295,16.31
236-86-3015,Member,04/02/2019 00:00,1899-12-30 13:38:00,C,Naypyitaw,Ewallet,Male,Home and lifestyle,13.98,0.699,1,9.8,0.699,14.679,13.98
237-01-6122,Member,01/02/2019 00:00,1899-12-30 20:31:00,C,Naypyitaw,Credit card,Female,Home and lifestyle,727.11,36.3555,9,9.5,36.3555,763.4655,80.79
237-44-6163,Normal,24/01/2019 00:00,1899-12-30 17:43:00,A,Yangon,Cash,Male,Electronic accessories,84.48,4.224,8,7.6,4.224,88.704,10.56
